lsoa_code,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E01000001,100.0,100.0,100.0,100.0,200.0,3
E01000002,100.0,100.0,100.0,100.0,200.0,3
E01000003,100.0,100.0,100.0,100.0,200.0,3
E01000005,100.0,100.0,100.0,100.0,200.0,3
E01000006,100.0,100.0,100.0,100.0,200.0,3
E01000007,100.0,100.0,100.0,100.0,200.0,3
E01000008,100.0,100.0,100.0,100.0,200.0,3
E01000009,100.0,100.0,100.0,100.0,200.0,3
E01000010,100.0,100.0,100.0,100.0,200.0,3
E01000011,100.0,100.0,100.0,100.0,200.0,3
E01000012,100.0,100.0,100.0,100.0,200.0,3
E01000013,100.0,100.0,100.0,100.0,200.0,3
E01000014,100.0,100.0,100.0,100.0,200.0,3
E01000015,100.0,100.0,100.0,100.0,200.0,3
E01000016,100.0,100.0,100.0,100.0,200.0,3
E01000017,100.0,100.0,100.0,100.0,200.0,3
E01000018,100.0,100.0,100.0,100.0,200.0,3
E01000019,100.0,100.0,100.0,100.0,200.0,3
E01000020,100.0,100.0,100.0,100.0,200.0,3
E01000021,100.0,100.0,100.0,100.0,200.0,3
E01000022,100.0,100.0,100.0,100.0,200.0,3
E01000023,100.0,100.0,100.0,100.0,200.0,3
E01000024,100.0,100.0,100.0,100.0,200.0,3
E01000025,100.0,100.0,100.0,100.0,200.0,3
E01000027,100.0,100.0,100.0,100.0,200.0,3
E01000028,100.0,100.0,100.0,100.0,200.0,3
E01000029,100.0,100.0,100.0,100.0,200.0,3
E01000030,100.0,100.0,100.0,100.0,200.0,3
E01000031,100.0,100.0,100.0,100.0,200.0,3
E01000032,100.0,100.0,100.0,100.0,200.0,3
E01000033,100.0,100.0,100.0,100.0,200.0,3
E01000034,100.0,100.0,100.0,100.0,200.0,3
E01000035,100.0,100.0,100.0,100.0,200.0,3
E01000036,100.0,100.0,100.0,100.0,200.0,3
E01000037,100.0,100.0,100.0,100.0,200.0,3
E01000038,100.0,100.0,100.0,100.0,200.0,3
E01000039,100.0,100.0,100.0,100.0,200.0,3
E01000040,100.0,100.0,100.0,100.0,200.0,3
E01000041,100.0,100.0,100.0,100.0,200.0,3
E01000042,100.0,100.0,100.0,100.0,200.0,3
E01000043,100.0,100.0,100.0,100.0,200.0,3
E01000044,100.0,100.0,100.0,100.0,200.0,3
E01000045,100.0,100.0,100.0,100.0,200.0,3
E01000046,100.0,100.0,100.0,100.0,200.0,3
E01000048,100.0,100.0,100.0,100.0,200.0,3
E01000049,100.0,100.0,100.0,100.0,200.0,3
E01000050,100.0,100.0,100.0,100.0,200.0,3
E01000051,100.0,100.0,100.0,100.0,200.0,3
E01000052,100.0,100.0,100.0,100.0,200.0,3
E01000053,100.0,100.0,100.0,100.0,200.0,3
E01000054,100.0,100.0,100.0,100.0,200.0,3
E01000055,100.0,100.0,100.0,100.0,200.0,3
E01000056,100.0,100.0,100.0,100.0,200.0,3
E01000057,100.0,100.0,100.0,100.0,200.0,3
E01000058,100.0,100.0,100.0,100.0,200.0,3
E01000059,100.0,100.0,100.0,100.0,200.0,3
E01000060,100.0,100.0,100.0,100.0,200.0,3
E01000061,100.0,100.0,100.0,100.0,200.0,3
E01000062,100.0,100.0,100.0,100.0,200.0,3
E01000063,100.0,100.0,100.0,100.0,200.0,3
E01000064,100.0,100.0,100.0,100.0,200.0,3
E01000065,100.0,100.0,100.0,100.0,200.0,3
E01000066,100.0,100.0,100.0,100.0,200.0,3
E01000067,100.0,100.0,100.0,100.0,200.0,3
E01000068,100.0,100.0,100.0,100.0,200.0,3
E01000069,100.0,100.0,100.0,100.0,200.0,3
E01000070,100.0,100.0,100.0,100.0,200.0,3
E01000071,100.0,100.0,100.0,100.0,200.0,3
E01000072,100.0,100.0,100.0,100.0,200.0,3
E01000073,100.0,100.0,100.0,100.0,200.0,3
E01000074,100.0,100.0,100.0,100.0,200.0,3
E01000075,100.0,100.0,100.0,100.0,200.0,3
E01000076,100.0,100.0,100.0,100.0,200.0,3
E01000077,100.0,100.0,100.0,100.0,200.0,3
E01000078,100.0,100.0,100.0,100.0,200.0,3
E01000079,100.0,100.0,100.0,100.0,200.0,3
E01000080,100.0,100.0,100.0,100.0,200.0,3
E01000081,100.0,100.0,100.0,100.0,200.0,3
E01000082,100.0,100.0,100.0,100.0,200.0,3
E01000083,100.0,100.0,100.0,100.0,200.0,3
E01000084,100.0,100.0,100.0,100.0,200.0,3
E01000085,100.0,100.0,100.0,100.0,200.0,3
E01000086,100.0,100.0,100.0,100.0,200.0,3
E01000087,100.0,100.0,100.0,100.0,200.0,3
E01000088,100.0,100.0,100.0,100.0,200.0,3
E01000089,100.0,100.0,100.0,100.0,200.0,3
E01000090,100.0,100.0,100.0,100.0,200.0,3
E01000091,100.0,100.0,100.0,100.0,200.0,3
E01000092,100.0,100.0,100.0,100.0,200.0,3
E01000093,100.0,100.0,100.0,100.0,200.0,3
E01000094,100.0,100.0,100.0,100.0,200.0,3
E01000095,100.0,100.0,100.0,100.0,200.0,3
E01000096,100.0,100.0,100.0,100.0,200.0,3
E01000097,100.0,100.0,100.0,100.0,200.0,3
E01000098,100.0,100.0,100.0,100.0,200.0,3
E01000099,100.0,100.0,100.0,100.0,200.0,3
E01000100,100.0,100.0,100.0,100.0,200.0,3
E01000101,100.0,100.0,100.0,100.0,200.0,3
E01000102,100.0,100.0,100.0,100.0,200.0,3
E01000103,100.0,100.0,100.0,100.0,200.0,3
E01000104,100.0,100.0,100.0,100.0,200.0,3
E01000105,100.0,100.0,100.0,100.0,200.0,3
E01000106,100.0,100.0,100.0,100.0,200.0,3
E01000107,100.0,100.0,100.0,100.0,200.0,3
E01000108,100.0,100.0,100.0,100.0,200.0,3
E01000109,100.0,100.0,100.0,100.0,200.0,3
E01000110,100.0,100.0,100.0,100.0,200.0,3
E01000111,100.0,100.0,100.0,100.0,200.0,3
E01000112,100.0,100.0,100.0,100.0,200.0,3
E01000113,100.0,100.0,100.0,100.0,200.0,3
E01000114,100.0,100.0,100.0,100.0,200.0,3
E01000115,100.0,100.0,100.0,100.0,200.0,3
E01000116,100.0,100.0,100.0,100.0,200.0,3
E01000117,100.0,100.0,100.0,100.0,200.0,3
E01000118,100.0,100.0,100.0,100.0,200.0,3
E01000119,100.0,100.0,100.0,100.0,200.0,3
E01000120,100.0,100.0,100.0,100.0,200.0,3
E01000121,100.0,100.0,100.0,100.0,200.0,3
E01000122,100.0,100.0,100.0,100.0,200.0,3
E01000123,100.0,100.0,100.0,100.0,200.0,3
E01000124,100.0,100.0,100.0,100.0,200.0,3
E01000125,100.0,100.0,100.0,100.0,200.0,3
E01000126,100.0,100.0,100.0,100.0,200.0,3
E01000127,100.0,100.0,100.0,100.0,200.0,3
E01000128,100.0,100.0,100.0,100.0,200.0,3
E01000129,100.0,100.0,100.0,100.0,200.0,3
E01000130,100.0,100.0,100.0,100.0,200.0,3
E01000131,100.0,100.0,100.0,100.0,200.0,3
E01000132,100.0,100.0,100.0,100.0,200.0,3
E01000133,100.0,100.0,100.0,100.0,200.0,3
E01000134,100.0,100.0,100.0,100.0,200.0,3
E01000135,100.0,100.0,100.0,100.0,200.0,3
E01000136,100.0,100.0,100.0,100.0,200.0,3
E01000137,100.0,100.0,100.0,100.0,200.0,3
E01000138,100.0,100.0,100.0,100.0,200.0,3
E01000139,100.0,100.0,100.0,100.0,200.0,3
E01000140,100.0,100.0,100.0,100.0,200.0,3
E01000141,100.0,100.0,100.0,100.0,200.0,3
E01000142,100.0,100.0,100.0,100.0,200.0,3
E01000143,100.0,100.0,100.0,100.0,200.0,3
E01000144,100.0,100.0,100.0,100.0,200.0,3
E01000145,100.0,100.0,100.0,100.0,200.0,3
E01000146,100.0,100.0,100.0,100.0,200.0,3
E01000147,100.0,100.0,100.0,100.0,200.0,3
E01000148,100.0,100.0,100.0,100.0,200.0,3
E01000150,100.0,100.0,100.0,100.0,200.0,3
E01000151,100.0,100.0,100.0,100.0,200.0,3
E01000152,100.0,100.0,100.0,100.0,200.0,3
E01000153,100.0,100.0,100.0,100.0,200.0,3
E01000154,100.0,100.0,100.0,100.0,200.0,3
E01000155,100.0,100.0,100.0,100.0,200.0,3
E01000156,100.0,100.0,100.0,100.0,200.0,3
E01000157,100.0,100.0,100.0,100.0,200.0,3
E01000158,100.0,100.0,100.0,100.0,200.0,3
E01000159,100.0,100.0,100.0,100.0,200.0,3
E01000160,100.0,100.0,100.0,100.0,200.0,3
E01000161,100.0,100.0,100.0,100.0,200.0,3
E01000162,100.0,100.0,100.0,100.0,200.0,3
E01000163,100.0,100.0,100.0,100.0,200.0,3
E01000164,100.0,100.0,100.0,100.0,200.0,3
E01000165,100.0,100.0,100.0,100.0,200.0,3
E01000166,100.0,100.0,89.4,100.0,189.4,3
E01000167,100.0,100.0,57.4,100.0,157.4,3
E01000168,100.0,100.0,100.0,100.0,200.0,3
E01000169,100.0,100.0,100.0,100.0,200.0,3
E01000170,100.0,100.0,100.0,100.0,200.0,3
E01000171,100.0,100.0,100.0,100.0,200.0,3
E01000172,100.0,100.0,100.0,100.0,200.0,3
E01000173,100.0,100.0,100.0,100.0,200.0,3
E01000174,100.0,100.0,100.0,100.0,200.0,3
E01000175,100.0,100.0,100.0,100.0,200.0,3
E01000176,100.0,100.0,100.0,100.0,200.0,3
E01000177,100.0,100.0,100.0,100.0,200.0,3
E01000178,100.0,100.0,100.0,100.0,200.0,3
E01000179,100.0,100.0,100.0,100.0,200.0,3
E01000180,100.0,100.0,100.0,100.0,200.0,3
E01000181,100.0,100.0,100.0,100.0,200.0,3
E01000182,100.0,100.0,100.0,100.0,200.0,3
E01000183,100.0,100.0,100.0,100.0,200.0,3
E01000184,100.0,100.0,100.0,100.0,200.0,3
E01000185,100.0,100.0,100.0,100.0,200.0,3
E01000186,100.0,100.0,100.0,100.0,200.0,3
E01000187,100.0,100.0,100.0,100.0,200.0,3
E01000188,100.0,100.0,100.0,100.0,200.0,3
E01000189,100.0,100.0,100.0,100.0,200.0,3
E01000190,100.0,100.0,100.0,100.0,200.0,3
E01000191,100.0,100.0,100.0,100.0,200.0,3
E01000192,100.0,100.0,100.0,100.0,200.0,3
E01000193,100.0,100.0,100.0,100.0,200.0,3
E01000194,100.0,100.0,100.0,100.0,200.0,3
E01000195,100.0,100.0,100.0,100.0,200.0,3
E01000196,100.0,100.0,100.0,100.0,200.0,3
E01000197,100.0,100.0,100.0,100.0,200.0,3
E01000198,100.0,100.0,100.0,100.0,200.0,3
E01000199,100.0,100.0,100.0,100.0,200.0,3
E01000200,100.0,100.0,100.0,100.0,200.0,3
E01000201,100.0,100.0,100.0,100.0,200.0,3
E01000202,100.0,100.0,100.0,100.0,200.0,3
E01000203,100.0,100.0,100.0,100.0,200.0,3
E01000204,100.0,100.0,100.0,100.0,200.0,3
