MSOA11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E02000001,100.0,100.0,100.0,100.0,200.0,3.0
E02000002,100.0,100.0,100.0,100.0,200.0,3.0
E02000003,100.0,100.0,100.0,100.0,200.0,3.0
E02000004,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000005,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000007,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000008,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000009,100.0,100.0,100.0,100.0,200.0,3.0
E02000010,100.0,100.0,100.0,100.0,200.0,3.0
E02000011,100.0,100.0,100.0,100.0,200.0,3.0
E02000012,100.0,100.0,100.0,100.0,200.0,3.0
E02000013,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000014,100.0,100.0,100.0,100.0,200.0,3.0
E02000015,100.0,100.0,100.0,100.0,200.0,3.0
E02000016,100.0,100.0,100.0,100.0,200.0,3.0
E02000017,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000018,100.0,100.0,100.0,100.0,200.0,3.0
E02000019,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000020,100.0,100.0,100.0,100.0,200.0,3.0
E02000021,100.0,100.0,100.0,100.0,200.0,3.0
E02000022,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000023,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000024,100.00000000000001,100.00000000000001,39.86107420879369,100.00000000000001,139.8610742087937,2.8333333333333335
E02000025,99.99999999999999,99.99999999999999,58.42578767109349,99.99999999999999,158.42578767109347,3.0
E02000026,100.00000000000003,100.00000000000003,97.2969742922281,100.00000000000003,197.2969742922281,3.0
E02000027,100.0,100.0,100.0,100.0,200.0,3.0
E02000028,100.0,100.0,100.0,100.0,200.0,3.0
E02000029,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000030,99.99999999999999,99.99999999999999,97.56450997368245,99.99999999999999,197.56450997368245,3.0
E02000031,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000032,100.0,100.0,100.0,100.0,200.0,3.0
E02000033,100.0,100.0,100.0,100.0,200.0,3.0
E02000034,100.0,100.0,100.0,100.0,200.0,3.0
E02000035,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000036,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000037,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000038,100.0,100.0,100.0,100.0,200.0,3.0
E02000039,100.0,100.0,100.0,100.0,200.0,3.0
E02000040,100.0,100.0,100.0,100.0,200.0,3.0
E02000041,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
