lsoa_code,imd_score,income,employment,education,health,crime,barriers,living_environment
E01000001,6.063,0.011,0.015,0.021,-1.918,-1.649,27.134,34.502
E01000002,6.255,0.012,0.017,0.04,-1.931,-1.692,26.358,37.106
E01000003,19.548,0.105,0.088,9.612,0.321,-0.987,31.861,48.337
E01000005,26.005,0.217,0.144,15.045,0.05,-0.831,35.104,34.811
E01000006,22.568,0.133,0.094,14.525,-0.39,0.746,39.737,30.477
E01000007,42.513,0.3,0.202,9.471,0.251,1.156,54.628,34.438
E01000008,38.339,0.29,0.17,27.271,0.289,0.526,49.738,26.95
E01000009,33.412,0.219,0.134,12.983,0.526,1.139,42.047,34.481
E01000010,30.914,0.197,0.078,13.277,0.139,1.111,51.245,38.231
E01000011,30.071,0.203,0.102,20.128,-0.04,0.838,48.123,31.691
E01000012,36.91,0.263,0.124,20.676,-0.114,0.915,52.981,44.706
E01000013,40.329,0.25,0.187,30.488,0.694,1.499,34.389,30.067
E01000014,38.37,0.242,0.165,34.58,0.489,1.514,35.604,26.352
E01000015,39.139,0.294,0.177,28.252,0.511,0.608,45.714,27.776
E01000016,34.209,0.256,0.171,30.756,0.418,0.821,32.757,22.581
E01000017,40.563,0.292,0.21,29.919,0.888,0.831,33.91,25.397
E01000018,36.396,0.283,0.172,33.241,0.566,0.935,32.806,18.505
E01000019,34.613,0.269,0.186,26.977,0.144,1.045,31.095,20.511
E01000020,32.895,0.24,0.163,27.457,0.716,0.586,32.362,23.084
E01000021,40.821,0.284,0.181,32.244,0.656,0.987,35.051,43.572
E01000022,31.616,0.22,0.173,30.798,0.22,0.563,33.93,24.505
E01000023,38.57,0.297,0.135,28.784,0.465,1.485,34.922,30.609
E01000024,30.92,0.227,0.148,30.908,0.53,0.32,33.662,25.661
E01000025,35.995,0.256,0.178,30.659,0.598,0.835,33.975,26.808
E01000027,41.997,0.295,0.178,46.638,0.616,1.272,37.203,17.31
E01000028,43.13,0.324,0.214,28.136,1.473,0.237,38.736,13.087
E01000029,26.669,0.139,0.11,19.024,0.144,1.149,41.519,19.141
E01000030,41.284,0.314,0.181,38.598,0.424,0.911,42.815,21.883
E01000031,25.078,0.143,0.121,12.981,-0.038,1.444,26.629,26.07
E01000032,30.366,0.175,0.137,23.528,0.404,1.214,29.341,33.927
E01000033,41.387,0.297,0.215,36.797,0.483,0.358,45.884,23.507
E01000034,36.958,0.274,0.172,32.755,0.866,0.466,40.834,14.517
E01000035,26.97,0.191,0.128,22.417,0.32,0.641,32.673,23.035
E01000036,20.949,0.142,0.099,18.761,-0.146,0.683,24.822,30.868
E01000037,20.079,0.147,0.153,19.495,-0.347,-0.319,25.012,18.161
E01000038,19.125,0.143,0.121,18.619,-0.043,0.105,24.049,16.214
