lsoa_code,imd_score,income,employment,education,health,crime,barriers,living_environment
E01031349,12.389,0.096,0.083,20.055,-0.718,0.242,10.586,15.18
E01031350,28.619,0.187,0.162,34.653,0.722,0.244,24.689,17.837
E01031351,11.713,0.065,0.066,26.334,-0.616,0.495,13.631,11.15
E01031352,16.446,0.117,0.113,25.779,-0.234,0.026,17.803,10.677
E01031370,18.265,0.102,0.115,32.056,0.082,0.182,15.482,15.378
E01031374,12.529,0.072,0.084,14.261,-0.183,0.128,15.696,22.053
E01031338,7.031,0.063,0.062,8.597,-0.241,-0.565,8.463,11.207
E01031339,6.791,0.072,0.054,3.882,-0.472,-1.473,19.94,13.118
E01031340,7.345,0.036,0.041,13.214,-0.675,0.334,16.057,12.964
E01031365,15.282,0.129,0.1,11.72,-0.016,0.268,10.279,17.965
E01031367,3.289,0.026,0.029,2.597,-0.757,-0.223,8.961,11.194
E01031345,14.333,0.071,0.064,31.559,0.06,-0.509,25.475,16.375
E01031353,7.946,0.02,0.031,18.324,-0.921,-0.94,32.927,9.529
E01031354,11.101,0.081,0.077,22.338,-0.555,-0.189,14.211,11.925
E01031355,18.157,0.108,0.112,36.243,0.119,-0.381,13.048,19.909
E01031359,15.115,0.103,0.085,24.848,-0.066,0.233,7.971,20.766
E01031347,30.131,0.232,0.156,40.708,0.467,0.392,19.771,24.123
E01031348,36.27,0.24,0.172,47.118,0.733,0.725,26.891,29.035
E01031366,29.596,0.181,0.152,46.601,0.658,0.622,18.737,19.977
E01031371,35.208,0.226,0.187,55.922,0.812,0.393,23.259,16.407
E01031372,29.9,0.202,0.193,42.734,0.61,0.035,20.084,13.219
E01031373,19.918,0.165,0.116,19.651,-0.014,0.071,18.098,26.216
E01031375,13.028,0.092,0.073,13.974,-0.041,0.419,11.723,18.303
E01031356,8.398,0.069,0.05,10.384,-0.917,-0.208,24.085,12.298
E01031357,11.043,0.078,0.072,15.371,-0.556,-0.172,19.122,18.965
E01031364,25.208,0.164,0.147,18.717,0.459,0.366,14.143,42.799
E01031368,11.945,0.092,0.081,16.121,-0.093,-0.688,17.636,14.834
E01031369,10.22,0.076,0.077,8.484,-0.464,-0.306,12.004,26.447
E01031344,24.183,0.141,0.154,38.38,0.408,-0.459,25.019,15.169
E01031346,10.397,0.079,0.08,19.289,-0.418,-0.808,13.215,14.114
E01031361,33.917,0.225,0.19,59.405,0.507,-0.304,20.938,27.494
E01031362,14.883,0.093,0.078,24.443,-0.067,0.283,20.974,11.821
E01031363,14.345,0.093,0.096,30.466,-0.103,-0.74,17.445,10.028
E01031358,31.074,0.243,0.162,46.06,0.721,-0.802,22.349,24.113
E01031360,27.37,0.193,0.162,40.105,0.192,0.411,15.418,24.513
E01031376,17.873,0.11,0.094,28.266,-0.139,-0.182,25.546,22.921
E01031378,20.252,0.128,0.084,41.344,0.16,0.233,17.159,24.347
E01031341,39.348,0.261,0.2,63.144,0.909,0.135,20.467,29.313
E01031342,16.938,0.103,0.072,36.681,0.006,-0.355,23.432,20.814
E01031343,15.251,0.084,0.087,28.96,-0.032,0.316,9.291,19.077
E01031377,25.042,0.187,0.124,36.635,0.537,-0.62,18.118,32.234
E01031379,11.633,0.084,0.078,21.017,-0.077,-1.035,13.533,16.668
E01019126,27.01,0.203,0.171,32.13,0.643,-0.112,8.624,24.833
E01019127,18.144,0.101,0.105,18.657,0.011,-0.561,29.078,30.607
E01019132,19.113,0.08,0.074,15.505,-0.465,-1.227,36.78,59.229
E01019134,12.95,0.101,0.102,21.082,0.094,-1.444,12.585,5.717
E01019135,29.366,0.197,0.171,47.853,0.603,0.109,22.717,9.019
E01019136,12.266,0.087,0.086,18.367,-0.103,-1.039,13.283,21.597
E01019137,24.635,0.162,0.156,19.672,0.64,-0.189,3.092,42.618
E01019083,15.426,0.049,0.04,7.633,-0.84,-1.843,38.426,63.628
E01019107,21.119,0.078,0.097,18.249,-0.49,-1.69,42.422,54.132
E01019130,15.436,0.067,0.063,10.082,-0.643,-1.123,43.453,38.031
E01019131,15.298,0.038,0.045,7.03,-0.74,-1.685,41.128,60.208
E01019081,30.225,0.212,0.18,43.959,0.586,-0.073,24.902,12.532
E01019082,17.086,0.101,0.093,27.463,0.155,0.067,5.096,30.629
E01019102,22.446,0.117,0.108,19.764,-0.131,-0.567,33.458,51.463
E01019128,20.22,0.084,0.106,22.946,-0.103,-1.043,34.225,43.995
E01019133,14.385,0.072,0.067,12.596,-0.657,-1.439,28.873,49.783
E01019093,13.667,0.076,0.094,21.885,-0.216,-1.282,19.231,26.622
E01019094,21.439,0.143,0.129,17.54,0.343,-0.683,33.349,17.901
E01019096,14.494,0.11,0.115,18.86,-0.204,0.313,6.566,4.552
E01019114,26.958,0.131,0.139,18.941,0.548,1.326,5.19,40.653
E01019115,35.114,0.187,0.212,38.509,0.837,1.228,14.135,20.848
E01019095,49.938,0.298,0.27,70.813,1.402,0.966,13.021,15.503
E01019097,61.34,0.418,0.36,67.299,1.434,1.02,11.788,4.606
E01019098,23.552,0.149,0.132,38.596,0.331,0.389,9.876,24.113
E01019099,30.303,0.195,0.168,45.062,0.544,0.5,5.919,33.982
E01019084,15.062,0.125,0.117,14.192,0.132,-1.474,16.175,14.392
E01019085,7.975,0.051,0.063,2.729,-0.511,-1.122,29.442,12.808
E01019086,9.714,0.034,0.023,2.468,-0.882,-2.138,39.215,34.299
E01019088,15.628,0.119,0.106,4.99,0.52,-0.195,4.686,25.844
E01019091,11.755,0.041,0.048,2.983,-0.812,-2.04,44.484,31.773
E01019078,5.343,0.042,0.06,1.446,-0.742,-1.338,23.636,8.225
E01019079,8.299,0.063,0.077,12.737,-0.216,-0.761,15.992,2.086
E01019080,25.313,0.193,0.155,39.522,0.442,-0.132,9.704,17.955
E01019087,3.227,0.034,0.045,3.104,-0.373,-1.458,9.892,6.413
E01019090,16.795,0.035,0.034,2.794,-0.998,-1.607,49.529,63.387
E01019116,35.269,0.157,0.181,25.512,0.943,1.411,5.669,53.269
E01019118,22.342,0.108,0.128,25.883,0.221,0.461,1.743,46.412
E01019122,47.169,0.297,0.269,54.176,1.365,0.677,28.128,8.456
E01019123,18.916,0.144,0.127,33.078,0.511,-1.14,8.671,5.779
E01019124,5.735,0.034,0.063,6.788,-0.036,-1.047,14.835,2.253
E01019125,11.504,0.059,0.101,10.648,0.004,-0.572,14.636,20.054
E01019111,49.258,0.276,0.244,66.569,1.162,1.309,21.454,28.52
E01019112,50.637,0.302,0.291,75.05,1.546,0.22,16.207,12.169
E01019113,60.51,0.383,0.313,69.911,2.038,0.809,19.15,9.127
E01019120,24.943,0.124,0.12,24.956,0.453,0.903,2.058,47.405
E01019121,45.432,0.248,0.253,38.357,1.513,0.8,4.773,54.479
E01019108,37.62,0.223,0.209,53.586,1.132,0.985,11.838,10.31
E01019109,35.413,0.26,0.187,47.447,0.921,0.689,11.922,18.279
E01019110,40.986,0.258,0.272,41.998,1.341,0.216,24.506,2.083
E01019117,12.022,0.067,0.073,10.974,0.045,0.5,5.48,21.946
E01019119,9.156,0.061,0.065,9.693,0.295,-0.391,13.108,8.383
E01019089,26.812,0.171,0.152,50.084,0.606,-1.197,24.912,12.067
E01019100,15.318,0.081,0.102,15.014,0.361,-0.209,12.941,27.335
E01019101,10.627,0.031,0.065,5.955,0.026,-0.454,36.152,7.952
E01019129,11.467,0.048,0.07,6.549,0.273,-0.159,32.084,3.879
E01019092,11.307,0.027,0.027,13.084,-0.844,-2.689,35.689,42.675
E01019103,10.337,0.081,0.072,21.205,-0.208,-1.231,9.981,15.517
E01019104,12.543,0.124,0.08,14.622,-0.028,-0.495,9.27,14.969
E01019105,9.32,0.048,0.045,12.425,-0.212,-0.645,2.323,41.786
E01019106,9.223,0.03,0.034,10.768,-0.863,-0.946,34.824,26.187
E01019400,32.283,0.23,0.199,49.578,0.812,-0.893,11.954,24.703
E01019401,29.435,0.202,0.184,37.708,0.636,0.249,10.183,25.796
E01019402,19.352,0.135,0.138,31.351,0.229,-0.266,10.474,10.35
E01019404,27.405,0.143,0.183,35.299,0.501,0.337,8.539,35.832
E01019406,10.515,0.079,0.063,5.327,-0.479,-1.343,29.501,22.403
E01019423,10.357,0.058,0.055,5.498,-0.698,-1.046,13.651,53.684
E01019424,12.945,0.117,0.106,13.263,0.157,-1.501,6.366,10.692
E01019477,13.127,0.082,0.079,10.425,-0.25,-1.094,29.875,24.655
E01019403,37.448,0.243,0.196,61.706,1.237,-0.227,14.024,22.593
E01019444,63.563,0.42,0.317,80.163,1.324,1.334,17.168,14.198
E01019468,30.852,0.21,0.172,55.484,0.282,0.164,17.158,25.084
E01019469,39.511,0.277,0.193,77.127,0.987,0.087,11.659,13.526
E01019471,37.744,0.248,0.207,65.818,0.952,-0.17,10.495,25.753
E01019443,12.152,0.081,0.095,16.014,-0.064,-0.109,5.198,14.859
E01019470,20.663,0.142,0.122,33.62,0.006,0.327,6.452,23.47
E01019473,5.54,0.027,0.047,6.763,-0.683,-1.437,28.441,2.974
E01019474,6.921,0.05,0.053,8.407,-0.524,-0.952,24.094,9.603
E01019475,17.201,0.16,0.11,19.837,0.047,-0.412,4.441,22.015
E01019476,9.019,0.058,0.081,5.066,-0.214,-0.401,20.893,9.852
E01019420,28.002,0.2,0.175,29.949,0.525,0.346,7.676,31.126
E01019442,20.262,0.135,0.121,38.189,-0.165,0.362,10.226,18.252
E01019445,17.332,0.12,0.108,26.521,-0.188,0.387,5.275,20.627
E01019455,23.338,0.122,0.105,24.967,0.199,0.718,18.351,45.888
E01019456,19.818,0.15,0.112,26.554,0.196,0.132,12.715,22.896
E01019457,12.653,0.076,0.092,22.217,-0.442,0.287,12.611,10.432
E01019429,12.871,0.069,0.066,16.653,-0.503,-1.014,29.304,31.932
E01019454,9.301,0.084,0.079,9.319,-0.08,-0.756,8.359,11.292
E01019460,12.628,0.084,0.079,16.206,-0.275,-0.738,22.421,23.767
E01019461,18.096,0.114,0.111,24.625,0.528,-0.377,7.64,23.506
E01019462,5.744,0.05,0.052,15.223,-0.379,-1.316,10.42,6.229
E01019405,14.507,0.048,0.045,6.416,-1.005,-1.225,44.621,48.848
E01019414,10.96,0.059,0.081,7.346,-0.479,-0.618,30.649,15.661
E01019428,17.957,0.127,0.121,20.691,0.035,-1.138,28.136,12.475
E01019430,8.284,0.058,0.055,13.168,-0.967,-1.702,26.082,16.766
E01019421,16.268,0.13,0.104,32.027,-0.126,-0.557,12.636,12.176
E01019422,11.218,0.083,0.084,16.004,-0.536,-0.54,19.631,14.195
E01019432,18.573,0.162,0.13,28.369,-0.08,-0.943,15.675,12.238
E01019458,23.176,0.156,0.124,23.629,0.144,0.478,7.959,43.252
E01019459,33.035,0.262,0.204,43.332,0.689,0.055,13.538,16.757
E01019463,42.445,0.332,0.247,62.128,1.027,-0.258,13.089,6.998
E01019408,15.097,0.093,0.088,20.914,0.063,-0.339,17.234,26.552
E01019409,6.399,0.055,0.079,8.59,-0.5,-1.487,8.893,8.215
